รุ่นรถ_raw,รุ่นรถ2
5610J,5610J
5610J_93,5610J_93
5610S,5610S
5615,5615
5615K,5615K
5630 2004,5630 2004
5640,5640
5640(4WD),5640(4WD)
5640DT,5640DT
5700,5700
570GT COUPE,570GT COUPE
570ST 4WD,570ST 4WD
570SV,570SV
5715,5715
5715S,5715S
580T,580T
5900,5900
595 COMPETIZIONE,595 COMPETIZIONE
5P0100,5P0100
5P0300,5P0300
5P0400,5P0400
5P0600,5P0600
5P6100,5P6100
5YP600,5YP600
6 EV LONG RANGE 2WD,6 EV
6 EV LONG RANGE 2WD PRO,6 EV
6 EV LONG RANGE 4WD,6 EV
6-69/SUPER 1804,6-69/SUPER 1804
6-83,6-83
6000,6000
600LT,600LT
600LT SPIDER,600LT Spider
6065,6065
6070,6070
6075,6075
6075 4WD,6075 4WD
6080,6080
6095B,6095B
6095B CAB,6095B CAB
6095B CAB JDA,6095B CAB JDA
6095B OOS,6095B OOS
6095B OOS DELUXE-V1,6095B OOS DELUXE-V1
6095B OOS STANDARD-V1,6095B OOS STANDARD-V1
60DI,60DI
60K,60K
60NS,60NS
6100,6100
6100B,6100B
6110B,6110B
6110B OOS DELUXE,6110B OOS DELUXE
6110M,6110M
6120B,6120B
6125M,6125M
6135B CAB JDA,6135B CAB JDA
6140M,6140M
6165J,6165J
616B,616B
6175M,6175M
620G,620G
620R COUPE,620R COUPE
6211E,6211E
62Z7,62Z7
630CI,630Ci
630D GRAN TURISMO RHD,630d Gran Turismo RHD
630I COUPE RHD,630I COUPE RHD
630I GRAN TURISMO RHD,630i Gran Turismo RHD
639B,639B
640/8,640/8
6410,6410
6410 4WD,6410 4wd
6410(4WD),6410(4WD)
650I,650I
650MT,650MT
650MT TOURING,650MT TOURING
650NK,650NK
656F,656F
65NSL,65NSL
6600,6600
6600 (4 WD),6600 (4 WD)
6600 2WD,6600 2WD
6600 4WD,6600 4wd
6600(4WD),6600(4WD)
6600PAS,6600PAS
6610,6610
6610 (4 WD),6610 (4 WD)
6610 2WD,6610 2WD
6610 4WD,6610 4WD
6610(4WD),6610(4WD)
6610DT,6610DT
6610S,6610S
6610S(4WD),6610S(4WD)
6611,6611
6640,6640
6640 4WD,6640 4WD
6640 SLDP,6640 SLDP
6640(4WD),6640(4WD)
6640(4X2),6640(4X2)
6640NEWHOLLAND,6640NEWHOLLAND
6640S,6640S
6640SL,6640SL
6650,6650
67/7700,67/7700
6700,6700
670G,670G
6710,6710
6750,6750
6810,6810
6810 4WD,6810 4WD
6810(4WD),6810(4WD)
6850,6850
690 DUKE R,690 DUKE R
695SL,695SL
695SV,695SV
6T EV LONG RANGE 4WD,6 EV
7 SHS MAX,7 SHS Max
7000,7000
701 ENDURO,701 ENDURO
7010,7010
7040,7040
7050,7050
7060,7060
7065,7065
7070-1F,7070-1F
70HP,70HP
70Z7,70Z7
718 BOXSTER,718 BOXSTER
718 BOXSTER 25 YEARS,718 BOXSTER 25 YEARS
718 BOXSTER CABRIOLET PDK,718 BOXSTER CABRIOLET PDK
718 BOXSTER CONVERTIBLE,718 BOXSTER CONVERTIBLE
718 BOXSTER GTS,718 BOXSTER GTS
718 BOXSTER GTS 4.0,718 BOXSTER GTS 4.0
718 BOXSTER PDK,718 BOXSTER PDK
718 BOXSTER S,718 BOXSTER S
718 BOXSTER S PDK,718 BOXSTER S PDK
718 BOXSTER STYLE EDITION,718 BOXSTER STYLE EDITION
718 BOXSTER T,718 BOXSTER T
718 CAYMAN,718 CAYMAN
718 CAYMAN COUPE PDK,718 CAYMAN COUPE PDK
718 CAYMAN GT4,718 CAYMAN GT4
718 CAYMAN GT4 RS,718 CAYMAN GT4 RS
718 CAYMAN GTS,718 CAYMAN GTS
718 CAYMAN GTS 4.0,718 CAYMAN GTS 4.0
718 CAYMAN PDK,718 CAYMAN PDK
718 CAYMAN S,718 CAYMAN S
718 CAYMAN STYLE EDITION,718 CAYMAN STYLE EDITION
718 CAYMAN T,718 CAYMAN T
718 CAYMAN T PDK,718 CAYMAN T PDK
718 SPYDER,718 SPYDER
718 SPYDER MANTHEY RACING,718 SPYDER MANTHEY RACING
718 SPYDER RS,718 SPYDER RS
718 SPYDER RS 4.0,718 SPYDER RS 4.0
720S COUPE,720S COUPE
720S COUPE PERFORMANCE,720S COUPE PERFORMANCE
720S COUPE V8,720S COUPE V8
720S LE MANS COUPE,720S LE MANS COUPE
720S PERFORMANCE SPYDER,720S PERFORMANCE SPYDER
720S SPIDER,720S SPIDER
724K,724K
725LD,725Ld
730A,730A
730LD,730Ld
730LD LIMOUSINE RHD,730Ld Limousine RHD
730LD M SPORT,730Ld M Sport
730LD PURE EXCELLENCE,730Ld Pure Excellence
740D M SPORT,740d M Sport
740LE XDRIVE IPERFORMANCE RHD,740Le xDrive iPerformance RHD
740LE XDRIVE M SPORT,740Le xDrive M Sport
740LE XDRIVE PURE EXCELLENCE,740Le xDrive Pure Excellence
740LI LIMOUSINE RHD,740LI LIMOUSINE RHD
7410,7410
7410 4WD,7410 4WD
745LE XDRIVE M SPORT,745Le xDrive M Sport
750E XDRIVE,750e xDrive
750E XDRIVE M SPORT,750e xDrive M Sport
750S COUPE,750S COUPE
750S SPIDER,750S SPIDER
752EX,752EX
76 105 B,76 105 B
7600,7600
7600(4WD),7600(4WD)
7610,7610
7610 4WD,7610 4WD
7610(4WD),7610(4WD)
7610S,7610S
7610S(4WD),7610S(4WD)
7630,7630
765L T COUPE,765L T COUPE
765LT,765LT
765LT COUPE,765LT COUPE
765LT COUPLE,765LT COUPLE
765LT SPIDER,765LT SPIDER
765LT SPIDER V8 4.0L,765LT SPIDER V8 4.0L
7700,7700
7700(4WD),7700(4WD)
7710,7710
7740,7740
7740 4WD,7740 4WD
7740(4WD),7740(4WD)
7740S,7740S
7740SL,7740SL
7810,7810
7810 4WD,7810 4WD
7810 4X4,7810 4X4
7810(4WD),7810(4WD)
7810S,7810S
7810S(4WD),7810S(4WD)
7811,7811
7840,7840
7840 4WD,7840 4WD
7840 4X4,7840 4X4
7840(4WD),7840(4WD)
790 ADVENTURE,790 ADVENTURE
790 ADVENTURE R,790 ADVENTURE R
790 DUKE,790 DUKE
7910,7910
7910 4WD,7910 4WD
7910 4X4,7910 4X4
7910(4WD),7910(4WD)
8000,8000
8010,8010
8010(4WD),8010(4WD)
8030,8030
8030(4WD),8030(4WD)
8035ZTS,8035ZTS
8056,8056
808A-2,808A-2
80Z7,80Z7
8100,8100
812 COMPETIZIONE,812 COMPETIZIONE
812 COMPETIZIONE A,812 COMPETIZIONE A
812 GTS,812 GTS
812 SUPERFAST,812 SUPERFAST
815,815
815B,815B
8160,8160
816F,816F
816H,816H
818M-SERIES E,818M-SERIES E
8200,8200
8200(4WD),8200(4WD)
8210,8210
8210 4WD,8210 4WD
8210(4WD),8210(4WD)
8240,8240
8240A,8240A
825,825
825B,825B
825C,825C
8260,8260
830,830
8340,8340
8340(4WD),8340(4WD)
835,835
835-2,835-2
835T,835T
8360,8360
840,840
840-2,840-2
840D XDRIVE,840D XDRIVE
840D XDRIVE COUPE,840D XDRIVE COUPE
840D XDRIVE M COUPE,840D XDRIVE M COUPE
840I CONVERTIBLE,840I CONVERTIBLE
840I M SPORT COUPE,840I M SPORT COUPE
840I M SPORT GRAN COUPE,840i M SPORT GRAN COUPE
842T,842T
8430,8430
850,850
850-1,850-1
850-2,850-2
8530,8530
85ZV-2,85ZV-2
86,86
86 GR,86 GR
86 GT LIMITED,86 GT LIMITED
860,860
860-2,860-2
8610,8610
865B,865B
866,866
870-2,870-2
8800,8800
890 ADVENTURE R,890 ADVENTURE R
890 DUKE R,890 DUKE R
8X4,8X4
9018F,9018F
9035FZTS,9035FZTS
904,904
906F,906F
906FG4,906FG4
90HP,90HP
90RX,90RX
90RX-4WD,90RX-4WD
90Z7,90Z7
90ZV-2,90ZV-2
91-3C TH H NBK,91-3C TH H NBK
91-3S2TH HSPLA NBK,91-3S2TH HSPLA NBK
910F-II,910F-II
910G,910G
910H,910H
910K,910K
911 CARERRA COUPE,911 CARERRA COUPE
911 CARRERA,911 CARRERA
911 CARRERA 4,911 CARRERA 4
911 CARRERA 4 GTS,911 CARRERA 4 GTS
911 CARRERA 4 GTS CAB.,911 CARRERA 4 GTS CAB.
911 CARRERA 4 GTS CABRIOLET,911 CARRERA 4 GTS CABRIOLET
